age,annual_income,current_savings,investment_horizon_years,number_of_dependents,investment_experience_level,risk_profile
35,243240,225322,14,2,Advanced,High
34,521126,861295,19,3,Intermediate,High
55,1305370,2766557,9,1,Intermediate,Moderate
31,3844506,2724681,7,0,Intermediate,High
40,1078295,1275358,15,0,Intermediate,High
42,950895,1114124,8,3,Beginner,Low
32,1214388,1298779,5,0,Beginner,Moderate
63,1303637,1284367,2,2,Intermediate,Low
39,1327733,908427,14,1,Intermediate,High
20,2716532,1571339,13,0,Beginner,High
36,774553,1062305,16,2,Advanced,High
61,336732,840058,4,1,Intermediate,Low
51,606952,1718574,8,1,Intermediate,Moderate
52,980904,1961010,13,0,Beginner,Low
67,846133,2635535,-2,1,Intermediate,Low
18,1311035,804385,8,0,Beginner,Moderate
69,1207331,3013017,-4,2,Advanced,Low
38,210393,315770,10,3,Advanced,Moderate
46,257714,428041,10,1,Advanced,Moderate
23,1087972,637384,14,2,Beginner,Moderate
54,1156287,3675562,9,2,Beginner,Low
18,507551,373995,2,0,Beginner,Moderate
68,1471457,2732300,-3,0,Beginner,Low
18,3956719,3556126,3,0,Beginner,High
44,417958,334488,9,1,Beginner,Low
38,2950488,6685203,10,2,Beginner,Moderate
70,4083675,14132785,-5,0,Intermediate,Low
33,4771629,2342099,20,2,Beginner,Moderate
61,2980182,9528318,4,0,Beginner,Moderate
57,1126169,1471810,8,0,Beginner,Low
43,786330,1416439,14,1,Intermediate,Moderate
33,1371720,826435,14,2,Beginner,Moderate
45,1242174,2545460,11,1,Advanced,High
18,341882,294581,2,0,Beginner,Low
53,1386642,3864135,12,0,Beginner,Moderate
27,588338,546292,1,2,Advanced,Moderate
60,859668,1943176,3,1,Beginner,Moderate
34,2153203,1519100,5,0,Beginner,Moderate
40,4411622,6314766,16,1,Beginner,Moderate
24,432972,380230,5,0,Beginner,Moderate
61,553747,1704521,4,0,Intermediate,Moderate
70,912766,2911097,-5,0,Intermediate,Low
24,1123128,1210674,9,0,Intermediate,High
61,3520241,2465753,4,2,Intermediate,Low
32,769408,918798,16,0,Intermediate,High
51,1492738,4539891,4,0,Advanced,High
63,465623,1396628,2,2,Advanced,Low
62,465658,1493802,3,2,Intermediate,Low
21,318747,232130,3,0,Beginner,Low
31,1185344,1896067,19,0,Beginner,High
31,4415416,6959941,12,1,Beginner,High
33,525401,632857,15,1,Advanced,High
24,567890,523635,10,0,Intermediate,High
49,733810,453123,16,2,Intermediate,High
36,764544,1449232,13,2,Intermediate,High
19,3985590,1264348,18,0,Intermediate,High
27,523095,353647,11,3,Intermediate,Moderate
67,3860085,12213501,-2,0,Advanced,Moderate
34,2000003,1703402,11,0,Beginner,High
54,3582319,6824028,11,0,Advanced,High
29,499352,256407,11,0,Beginner,High
23,723282,408845,2,0,Beginner,Low
39,1695419,3088839,19,1,Beginner,High
49,2391793,3623019,3,2,Intermediate,High
58,681676,1508619,7,0,Beginner,Low
37,733685,756084,15,4,Intermediate,Moderate
18,783036,796795,15,1,Beginner,Moderate
64,3357421,11347740,1,0,Intermediate,Low
70,262343,287163,-5,1,Intermediate,Low
23,441872,598443,15,0,Beginner,High
36,316264,574616,10,1,Intermediate,Moderate
35,879499,551578,10,2,Beginner,Moderate
23,586959,163097,20,0,Beginner,Moderate
62,1324637,4488362,3,2,Intermediate,Low
50,981728,2350643,6,3,Intermediate,Low
40,378981,360458,15,0,Beginner,Low
40,703313,1620439,4,1,Intermediate,Moderate
43,537816,1279040,11,0,Advanced,High
30,603590,374129,9,0,Beginner,Moderate
24,730032,524900,5,0,Beginner,Moderate
32,1080657,427687,1,1,Beginner,Low
61,275371,426870,4,1,Beginner,Low
44,3714730,5687796,19,0,Beginner,High
43,1512741,856779,6,1,Intermediate,High
50,688570,924021,6,2,Intermediate,Low
32,1288215,723082,11,0,Beginner,Moderate
53,1118869,3331284,1,1,Beginner,Low
62,1568103,5004500,2,0,Advanced,Moderate
44,785232,1669370,4,2,Beginner,Low
22,295585,316853,3,0,Beginner,Low
19,4471712,910636,5,0,Intermediate,High
50,1124283,2255357,5,2,Beginner,Moderate
33,1087282,1418813,6,0,Intermediate,High
40,678030,1617212,6,1,Intermediate,Moderate
55,462777,1059527,10,0,Beginner,Low
33,2045611,2870915,20,3,Intermediate,High
31,1069567,962875,10,2,Beginner,Moderate
46,437054,704039,15,0,Beginner,Low
43,1357688,1737621,18,0,Beginner,Moderate
52,1325802,3831290,4,2,Advanced,Moderate
32,276042,177931,6,0,Beginner,Low
20,1424572,499169,7,0,Intermediate,Moderate
40,602479,1442230,4,0,Beginner,Moderate
46,332050,863628,9,1,Beginner,Low
51,659729,1334147,1,0,Advanced,Moderate
50,488385,1187745,2,0,Advanced,Low
58,1050202,947135,6,1,Beginner,Moderate
58,757448,2127080,7,0,Beginner,Low
40,234052,311229,11,4,Intermediate,Low
24,803475,990224,17,0,Beginner,High
20,1428676,1022342,17,0,Intermediate,High
49,1209889,2747104,16,2,Beginner,High
48,818016,1058965,17,1,Advanced,High
35,1404370,2289973,9,3,Intermediate,Moderate
60,722845,1023294,5,0,Advanced,Moderate
24,1219597,1689441,16,0,Intermediate,High
58,982360,2479691,7,1,Advanced,Moderate
18,307326,187659,7,1,Intermediate,Moderate
31,2418076,3020866,4,2,Advanced,High
69,3252811,9162246,-4,1,Advanced,Low
49,1438344,3716463,2,0,Advanced,Moderate
23,4098134,3573598,12,0,Intermediate,High
56,1195906,2556687,9,1,Beginner,Low
27,550208,584372,4,3,Advanced,High
24,1113302,1300017,8,0,Beginner,Moderate
43,2171775,3227300,1,4,Intermediate,Moderate
51,590866,622380,12,1,Advanced,High
47,1081269,1570462,10,2,Intermediate,Moderate
53,2603525,3970473,12,0,Beginner,Moderate
38,4223597,2075879,5,0,Advanced,High
34,385598,655395,4,3,Intermediate,Moderate
50,204984,531060,15,0,Intermediate,Moderate
27,327978,206883,10,2,Beginner,Low
68,1011474,1802030,-3,0,Advanced,Low
64,2804171,4674648,1,1,Beginner,Low
59,1096570,2320267,6,1,Beginner,Moderate
68,2141758,4872178,-3,0,Advanced,Moderate
29,1115192,1757392,14,0,Beginner,Moderate
33,1487870,1702726,14,1,Intermediate,High
58,501524,549642,7,2,Advanced,Moderate
49,1216094,2823060,4,0,Beginner,Moderate
32,280244,478983,10,1,Advanced,High
44,1123596,2000960,11,4,Advanced,Moderate
45,527870,1145637,5,1,Intermediate,High
34,296255,213783,5,0,Advanced,Moderate
63,678106,2349187,2,2,Intermediate,Low
67,1195588,1102505,-2,2,Intermediate,Low
19,469435,490183,14,0,Intermediate,High
53,1323950,1978563,12,1,Intermediate,Moderate
67,1166608,1132924,-2,2,Beginner,Low
24,1363262,623925,1,0,Beginner,Low
30,839487,1497380,1,1,Advanced,Moderate
32,631754,579068,17,0,Beginner,High
42,4064767,8314963,16,2,Advanced,High
40,354375,479956,16,2,Intermediate,Moderate
39,283851,429931,4,2,Advanced,Moderate
43,220655,396864,11,2,Intermediate,Moderate
50,1279838,2568548,5,0,Intermediate,Moderate
28,1343690,2254188,5,0,Beginner,Moderate
27,950120,963833,2,2,Beginner,Low
42,554037,955555,15,2,Intermediate,Moderate
54,974000,1444695,11,2,Intermediate,Moderate
65,1456393,2085379,0,1,Intermediate,Low
60,593283,1155111,5,0,Advanced,Moderate
70,1335863,3807034,-5,1,Intermediate,Low
55,2396814,3392283,4,0,Beginner,Low
58,929692,1886372,6,1,Intermediate,Moderate
62,413062,1299569,3,1,Intermediate,Low
41,2650381,3389695,19,2,Advanced,High
57,527571,1170086,8,0,Advanced,Moderate
63,1434793,5084521,2,0,Beginner,Low
50,594315,1223126,7,1,Beginner,Low
34,2677042,2324430,17,0,Intermediate,High
41,308097,486197,1,0,Advanced,Moderate
54,264427,757388,11,0,Intermediate,Moderate
19,1666118,558430,17,0,Intermediate,High
49,759313,1904077,10,1,Intermediate,High
41,856057,527278,14,1,Beginner,Moderate
26,356424,536181,6,1,Beginner,Low
21,698739,263810,16,0,Beginner,Moderate
34,4370821,4949799,6,3,Beginner,Moderate
34,1157134,2264053,5,2,Intermediate,Moderate
70,3469220,4963157,-5,0,Beginner,Low
67,3408464,9612465,-2,0,Advanced,Moderate
65,860962,2622723,0,1,Intermediate,Low
47,1443788,807074,18,2,Beginner,Moderate
57,808560,1830122,8,0,Advanced,Moderate
28,467471,628288,7,0,Intermediate,High
38,827796,1839747,19,0,Advanced,High
38,4963668,3194916,6,3,Beginner,Moderate
35,1420497,2643867,13,2,Advanced,High
46,2425947,4627688,5,2,Intermediate,High
41,4956146,9422913,9,3,Beginner,Moderate
27,3690857,4687189,17,2,Beginner,High
62,4049938,11601778,3,0,Advanced,High
34,854624,1631716,15,1,Beginner,Moderate
35,2255891,1275465,11,1,Advanced,High
59,1372262,1956734,6,0,Intermediate,Moderate
65,847672,3039515,0,1,Intermediate,Low
37,1425776,1731524,5,1,Advanced,High
54,929981,1521309,11,1,Intermediate,Moderate
62,608232,1393707,3,0,Advanced,Moderate
35,1132946,1012313,14,4,Advanced,High
34,341450,463043,9,0,Intermediate,Moderate
26,590389,828418,1,2,Intermediate,Moderate
31,948045,875419,5,2,Beginner,Moderate
66,2600639,3499747,-1,0,Beginner,Low
46,1109755,909129,19,0,Advanced,High
48,491955,1059939,15,1,Advanced,High
21,4882808,1402544,13,0,Beginner,High
35,1743651,839540,8,4,Beginner,Moderate
37,2968280,6376997,11,0,Advanced,High
64,1197309,3321966,1,2,Advanced,Low
60,201987,235860,5,0,Advanced,Moderate
61,1040129,2640860,4,0,Intermediate,Moderate
26,1325878,1342342,20,1,Intermediate,High
30,220348,323642,18,1,Beginner,Moderate
32,336218,335510,7,0,Intermediate,Moderate
44,2903214,1384866,13,2,Beginner,Moderate
32,1244656,1274846,20,0,Intermediate,High
45,318287,638272,6,0,Beginner,Moderate
54,821640,2567377,4,0,Beginner,Moderate
36,703953,1317988,5,1,Advanced,High
43,598351,287171,2,1,Beginner,Low
69,1024499,1571605,-4,0,Advanced,Low
43,219284,353536,19,0,Intermediate,Moderate
42,1767865,947917,15,0,Intermediate,High
43,1947839,3331748,2,1,Intermediate,Moderate
43,790569,1069287,4,2,Advanced,Moderate
63,1266382,3465122,2,1,Intermediate,Low
45,423475,400684,20,2,Intermediate,Moderate
66,1298993,1659656,-1,0,Advanced,Low
35,617836,1205806,10,0,Advanced,Moderate
49,838604,1116776,15,2,Intermediate,Moderate
70,362210,1484587,-5,2,Advanced,Low
20,986112,354685,5,0,Intermediate,Moderate
19,648204,587063,14,0,Beginner,Moderate
50,1060368,1064604,6,0,Intermediate,Moderate
59,857961,2317937,3,0,Advanced,Moderate
36,772325,642693,6,1,Beginner,Moderate
34,1204045,1088308,12,3,Intermediate,High
61,233539,599226,3,1,Intermediate,Low
50,4534526,2647746,15,1,Intermediate,High
29,1409842,912883,10,1,Intermediate,High
66,330214,1152174,-1,0,Intermediate,Low
20,1488209,761131,2,0,Beginner,Moderate
60,961139,3332749,4,1,Intermediate,Moderate
66,584926,662520,-1,1,Intermediate,Low
43,1488190,2948404,16,2,Advanced,High
52,4394185,4149267,1,0,Intermediate,Low
25,712347,858173,5,0,Intermediate,High
69,1125977,1605073,-4,1,Advanced,Low
53,492768,1392121,12,0,Beginner,Moderate
70,1771125,5109255,-5,0,Intermediate,Moderate
24,1404277,1821810,16,1,Beginner,High
63,540721,1410377,2,0,Advanced,Low
63,1440470,4567415,2,1,Beginner,Low
53,405718,1150298,12,2,Intermediate,Moderate
33,329721,363914,2,3,Beginner,Low
41,402537,720756,12,2,Intermediate,Moderate
18,491742,100280,15,0,Intermediate,Moderate
66,366482,842176,-1,0,Intermediate,Low
42,2731169,2365935,3,1,Advanced,High
27,1769695,751385,5,0,Beginner,Moderate
33,1002512,1979130,10,3,Beginner,Moderate
33,953600,1883518,13,3,Advanced,High
25,1196962,617810,19,0,Intermediate,High
46,994870,2511121,11,0,Beginner,Moderate
56,603634,1854183,9,0,Beginner,Moderate
45,1035918,2742088,13,2,Advanced,High
23,1296343,883022,17,0,Beginner,High
33,1450774,2709772,10,0,Intermediate,High
37,773660,1405285,8,1,Beginner,Moderate
33,980282,1512198,11,0,Intermediate,High
24,4466112,2399996,20,0,Beginner,High
58,638561,1278596,3,1,Beginner,Low
31,2724633,4172667,17,0,Intermediate,High
60,1131972,3554717,5,0,Intermediate,Moderate
43,337006,288257,13,0,Beginner,Moderate
43,1040447,1143633,13,2,Advanced,High
31,1445196,812137,17,2,Beginner,High
24,621533,262004,8,0,Beginner,Low
50,670123,692515,15,3,Beginner,Low
43,278785,664920,3,2,Intermediate,Moderate
62,2847146,4965157,3,2,Intermediate,Low
37,3147764,4062453,10,1,Intermediate,High
20,633004,133978,11,0,Advanced,High
69,553026,1818213,-4,0,Beginner,Low
21,4155064,2131575,10,1,Intermediate,High
43,841209,1635369,11,4,Intermediate,Low
28,831091,464088,1,3,Beginner,Low
19,623026,341537,10,0,Beginner,Moderate
31,959218,1066950,18,3,Intermediate,High
61,301792,765157,4,2,Beginner,Low
47,1156577,991713,2,3,Advanced,Moderate
66,1093094,2280941,-1,0,Intermediate,Low
29,1461419,448819,2,1,Intermediate,Moderate
43,1315719,941167,20,0,Intermediate,High
61,232345,374297,4,0,Beginner,Low
50,481714,1369086,12,1,Beginner,Moderate
30,242846,394608,8,1,Advanced,High
31,329235,369387,5,2,Beginner,Low
41,1099516,1813145,3,0,Advanced,High
51,398287,495913,7,2,Intermediate,Low
61,1224001,3247355,4,0,Intermediate,Low
43,1329025,1249043,2,1,Advanced,Moderate
38,1346446,518070,10,0,Intermediate,Moderate
45,652500,1707776,20,2,Beginner,Moderate
65,1177490,2225802,0,0,Intermediate,Low
53,584551,1119538,12,2,Intermediate,Moderate
57,502008,429349,8,1,Intermediate,Moderate
19,1067912,737875,19,0,Beginner,High
59,1498685,4873639,2,0,Beginner,Low
26,1653937,2317072,9,2,Intermediate,High
40,679337,1056967,11,0,Intermediate,Moderate
32,507256,857661,14,1,Intermediate,High
30,1094773,926572,9,2,Advanced,High
40,711981,558945,17,0,Intermediate,High
34,350125,370002,11,1,Intermediate,High
65,225715,740641,0,1,Intermediate,Low
19,1073778,925079,4,0,Intermediate,High
37,1864242,2016339,5,2,Intermediate,High
37,606208,607286,11,1,Intermediate,High
63,890181,3264848,2,1,Beginner,Low
20,293547,136022,9,0,Beginner,Moderate
29,925887,682199,9,0,Beginner,Moderate
57,915410,1427844,7,1,Intermediate,Moderate
19,1167011,1089777,6,0,Intermediate,High
53,1212013,3372941,7,0,Beginner,Moderate
31,714623,461993,11,1,Intermediate,High
33,1039795,1042053,13,2,Intermediate,Moderate
36,555660,1065597,1,0,Intermediate,Moderate
51,733569,960680,4,3,Intermediate,Moderate
61,4884060,8994913,4,0,Intermediate,Moderate
63,617410,1465755,2,2,Beginner,Low
23,239886,232128,5,1,Beginner,Moderate
30,759819,573988,12,2,Advanced,High
53,1022813,2102957,8,0,Beginner,Low
39,2547033,4591331,7,2,Beginner,Moderate
35,976353,495651,7,1,Beginner,Moderate
29,1446730,2515888,9,2,Beginner,Moderate
69,907243,3545489,-4,0,Beginner,Low
47,1363304,1130667,13,2,Intermediate,High
70,229122,426584,-5,0,Advanced,Low
68,524778,859088,-3,1,Beginner,Low
57,560623,354825,3,0,Intermediate,Moderate
24,313999,264504,1,0,Intermediate,Low
49,418839,367598,5,0,Advanced,Moderate
65,768444,841010,0,1,Intermediate,Low
36,681770,504030,11,1,Advanced,High
23,4196404,4630788,12,0,Beginner,High
37,1166846,710607,12,1,Advanced,High
44,4132851,7532680,6,2,Beginner,Moderate
70,995717,1710384,-5,1,Intermediate,Low
60,299842,241437,3,1,Advanced,Low
54,984164,3130091,9,2,Intermediate,Low
65,658311,1813745,0,2,Beginner,Low
24,855174,414188,16,0,Beginner,Moderate
22,2541329,1974098,17,0,Beginner,High
28,1243072,1024236,16,3,Beginner,High
32,647821,389064,8,2,Intermediate,Moderate
20,2358451,2738614,9,2,Beginner,High
22,848949,989242,18,0,Beginner,Moderate
40,420544,478778,5,4,Beginner,Low
70,820225,2901844,-5,0,Beginner,Low
54,719186,756532,11,2,Beginner,Low
26,832182,297559,7,0,Beginner,Low
32,2976590,3460550,14,1,Beginner,High
20,410190,243019,7,0,Intermediate,High
46,632912,392785,8,1,Intermediate,Moderate
23,2584337,2468197,19,0,Beginner,High
34,1287751,2232134,7,1,Beginner,Moderate
43,1137855,1779305,3,2,Intermediate,Moderate
38,1010435,487468,11,2,Beginner,Low
25,1007674,727329,17,3,Intermediate,High
38,932009,798287,20,1,Intermediate,High
28,2697153,1316121,9,0,Advanced,High
55,360254,692735,10,2,Intermediate,Low
25,1382286,458504,5,3,Intermediate,Moderate
59,387532,300843,1,0,Advanced,Low
41,1202344,2407418,4,1,Advanced,High
52,1327063,2165209,4,0,Intermediate,Moderate
31,372786,545844,6,2,Intermediate,Moderate
31,1355248,1106190,13,2,Intermediate,High
27,597073,443464,5,2,Beginner,Low
29,1053745,959923,17,0,Intermediate,High
55,962471,1335288,10,0,Intermediate,Moderate
61,522318,1209211,4,2,Advanced,Low
63,459667,395133,2,0,Beginner,Low
51,1151875,2224601,14,3,Intermediate,Moderate
58,1397512,3703163,7,1,Advanced,High
27,459781,740016,9,3,Intermediate,Moderate
34,1177419,1676330,1,1,Intermediate,Moderate
34,282761,436928,5,0,Intermediate,Moderate
20,1219405,969670,15,0,Beginner,Moderate
48,1421698,3927148,17,0,Intermediate,High
68,430536,1478132,-3,0,Intermediate,Low
18,561349,411824,11,0,Beginner,Moderate
29,905613,699481,1,0,Intermediate,Moderate
56,217032,318693,9,0,Intermediate,Low
21,378051,378405,9,0,Intermediate,High
59,603561,2009477,6,0,Advanced,High
30,739335,1314857,4,0,Beginner,Low
51,771532,909602,6,0,Intermediate,Low
59,1080451,2524206,6,0,Advanced,Moderate
38,1454936,2493473,19,2,Advanced,High
39,617836,738579,11,1,Intermediate,High
21,813020,263975,6,1,Beginner,Moderate
35,4893088,4161463,19,0,Intermediate,High
22,1393487,1096727,19,0,Advanced,High
36,1351364,766244,15,3,Intermediate,Moderate
19,236720,115360,19,0,Intermediate,High
29,457639,303747,4,1,Beginner,Moderate
34,281254,265080,11,1,Intermediate,High
27,1185922,1419905,7,3,Beginner,Moderate
51,984778,1698051,11,3,Intermediate,Moderate
23,454267,301002,6,0,Beginner,Moderate
25,985974,585150,11,1,Beginner,Moderate
68,1416933,4281166,-3,0,Beginner,Low
28,1588579,1944743,19,2,Beginner,High
29,772409,724055,18,3,Beginner,High
26,1349697,840080,2,0,Intermediate,Moderate
19,4078621,3909256,5,0,Beginner,High
25,2152023,2830260,15,1,Advanced,High
28,709292,1038845,12,3,Beginner,Moderate
70,880135,1825699,-5,0,Advanced,Low
53,1033681,1244082,12,3,Intermediate,Moderate
27,642244,906943,15,1,Beginner,Moderate
38,538235,1206455,20,2,Advanced,High
37,1068857,778366,9,0,Advanced,High
65,567793,1543562,0,0,Advanced,Low
25,330282,218657,1,0,Beginner,Low
53,219532,398987,12,0,Intermediate,Moderate
46,1384224,2458605,1,0,Beginner,Low
59,259847,566229,6,0,Advanced,Moderate
29,902077,1257872,19,1,Beginner,High
31,1017906,1848618,6,0,Beginner,Moderate
65,1042751,969419,0,0,Intermediate,Low
67,1582183,4682514,-2,0,Intermediate,Moderate
38,410696,564411,13,1,Intermediate,High
39,1769612,2058946,20,0,Beginner,High
38,330736,541772,1,2,Advanced,Low
61,4914151,16279276,4,1,Advanced,High
67,312148,847652,-2,1,Beginner,Low
47,1331584,3193425,10,2,Intermediate,Moderate
56,404127,560462,9,1,Intermediate,Moderate
37,782173,922710,13,1,Intermediate,Moderate
41,488774,375058,9,1,Intermediate,Moderate
40,1099625,1699065,13,2,Advanced,Moderate
24,1079730,1217239,20,2,Beginner,High
26,1604658,1625706,15,0,Intermediate,High
18,900460,901207,9,0,Beginner,Moderate
43,1261235,2872652,13,1,Intermediate,High
55,518434,890177,10,0,Intermediate,Moderate
55,1333326,2831574,10,0,Intermediate,High
61,214957,555322,4,1,Intermediate,Low
39,2069489,4065659,16,3,Intermediate,High
61,594230,497950,4,0,Intermediate,Low
27,739901,1006273,5,2,Intermediate,High
23,791713,242766,3,0,Beginner,Moderate
34,1322361,2067120,4,2,Intermediate,High
68,954093,2158230,-3,1,Advanced,Low
67,246526,361106,-2,0,Intermediate,Low
55,250037,623646,4,0,Advanced,Moderate
41,1793220,3934822,14,2,Intermediate,High
68,762601,2667303,-3,0,Intermediate,Low
27,1047284,557229,20,0,Beginner,High
25,613566,616713,9,2,Intermediate,Moderate
38,705418,1156836,1,2,Beginner,Low
23,562849,163341,11,0,Beginner,Moderate
38,1388923,1394008,4,0,Intermediate,High
56,1349772,1150008,9,1,Intermediate,Moderate
41,1235653,1562473,9,4,Advanced,Moderate
50,3815325,8844632,15,2,Advanced,High
35,310206,545723,19,2,Beginner,Low
45,901495,1953811,2,2,Advanced,Moderate
69,812221,1321699,-4,0,Intermediate,Low
49,592125,505840,11,1,Intermediate,High
29,453721,705593,13,3,Beginner,Moderate
65,1469190,4500377,0,0,Advanced,Low
59,844607,2380146,6,0,Intermediate,Moderate
44,448483,464570,16,2,Beginner,Moderate
27,1283055,1337454,5,1,Intermediate,High
63,237895,822741,2,0,Advanced,Low
69,1200264,4282369,-4,0,Intermediate,Low
59,267629,369005,6,1,Intermediate,Low
49,895274,2524278,8,0,Intermediate,High
59,486461,830476,4,0,Intermediate,Low
43,3040226,5050665,9,0,Intermediate,High
42,568464,1111790,5,0,Intermediate,Moderate
28,817081,515775,20,0,Intermediate,High
40,261512,310397,18,2,Intermediate,Moderate
51,334868,964312,14,3,Beginner,Low
69,1366730,1300262,-4,1,Intermediate,Low
57,1362682,856051,7,1,Beginner,Moderate
40,347722,809992,14,1,Intermediate,Moderate
46,523936,1295714,8,1,Beginner,Low
48,231115,554918,9,2,Advanced,Moderate
24,1526605,977371,4,0,Beginner,High
57,4526816,7438998,8,0,Advanced,High
50,1386664,3803914,3,3,Intermediate,Moderate
38,729058,1627666,11,4,Intermediate,Moderate
19,2542000,631156,15,0,Intermediate,High
35,1365536,1596904,15,0,Advanced,High
64,1793184,3446613,1,2,Intermediate,Low
50,1376783,3225025,2,1,Advanced,Moderate
54,429873,804818,9,2,Advanced,Moderate
51,1191549,846453,14,1,Intermediate,High
37,1135337,771416,6,1,Advanced,High
52,1124279,1483295,13,2,Beginner,Moderate
68,274024,919809,-3,1,Advanced,Low
67,812452,2650086,-2,0,Intermediate,Low
35,1122048,1907839,5,4,Intermediate,Moderate
63,961264,2957960,1,1,Advanced,Low
41,1087160,1373858,15,0,Intermediate,High
25,828029,843294,10,0,Intermediate,High
47,1017440,824437,4,3,Beginner,Low
61,2001916,2591228,2,0,Advanced,Low
70,634555,1162811,-5,0,Intermediate,Low
27,1456004,1402119,6,1,Intermediate,High
40,1250749,960205,14,0,Advanced,High
69,1048257,3885742,-4,0,Intermediate,Low
66,3428541,9292563,-1,0,Beginner,Low
28,1060056,1093779,18,0,Intermediate,High
19,1408928,289204,3,0,Beginner,Moderate
43,509455,835046,13,0,Beginner,Low
53,330057,975928,11,3,Intermediate,Moderate
50,287274,304446,5,2,Advanced,Low
64,659876,888383,1,2,Intermediate,Low
30,733010,1225580,6,1,Beginner,Moderate
57,396024,1165572,8,2,Intermediate,Low
42,782313,1446601,5,1,Beginner,Moderate
21,324957,318420,1,0,Beginner,Low
59,253331,193715,6,1,Intermediate,Low
36,1430532,2475350,4,3,Beginner,Moderate
35,630352,1041992,10,4,Beginner,Low
54,916629,618670,11,1,Advanced,High
47,2403541,5590321,15,0,Advanced,High
36,607472,919466,7,1,Intermediate,Moderate
40,571439,881562,4,1,Beginner,Low
33,325442,383659,19,0,Intermediate,High
18,3257962,2092121,11,0,Beginner,High
29,1124345,708161,15,1,Intermediate,High
41,1149431,478555,9,2,Intermediate,Moderate
51,3110912,9200275,3,0,Intermediate,High
70,437531,1012848,-5,0,Intermediate,Low
25,1276584,388523,6,3,Intermediate,Moderate
35,1456880,1354185,11,1,Intermediate,High
65,1191333,2218831,0,0,Intermediate,Low
22,1016006,1197102,1,0,Advanced,Moderate
43,1000144,1166099,4,0,Intermediate,Moderate
47,1238871,3142158,12,1,Advanced,High
30,3694623,3560956,18,0,Intermediate,High
36,978347,646190,12,3,Beginner,Moderate
46,334354,373646,8,0,Intermediate,Moderate
20,1493833,1565298,12,0,Beginner,Moderate
43,1290117,999408,11,3,Beginner,Low
57,786098,1826022,8,0,Advanced,Moderate
29,316868,425235,1,2,Beginner,Low
19,557475,271243,1,0,Beginner,Low
28,464331,652451,6,1,Beginner,Moderate
61,2587634,4048497,4,1,Advanced,Moderate
45,345684,367162,3,2,Intermediate,Low
35,941016,453023,9,2,Intermediate,Low
30,767665,904491,6,1,Advanced,High
54,3289090,6504674,11,1,Advanced,High
39,1289013,2167898,12,4,Advanced,High
29,3474209,3365136,17,1,Beginner,High
19,1190347,458732,1,0,Intermediate,Moderate
54,3583852,2937666,10,1,Beginner,Moderate
24,223558,187585,13,1,Beginner,Moderate
43,769254,1219367,9,0,Intermediate,Moderate
43,2726219,6636566,1,2,Intermediate,Moderate
41,1400311,1994021,10,3,Intermediate,Moderate
29,2720423,4468127,2,1,Beginner,Moderate
33,894405,1232765,4,0,Advanced,High
40,672527,471124,9,2,Advanced,Moderate
57,1474871,1202311,5,1,Intermediate,Moderate
26,1300694,1964120,16,0,Intermediate,High
49,506370,500942,7,2,Advanced,Moderate
32,353482,309777,19,2,Beginner,Moderate
54,1774293,1127736,11,1,Advanced,High
30,2422320,1725383,7,1,Beginner,Moderate
22,541159,688391,9,0,Intermediate,High
28,762268,310867,4,0,Advanced,Moderate
27,1404824,2083598,9,1,Intermediate,High
69,1082179,991298,-4,0,Intermediate,Low
30,1243082,1586669,6,2,Advanced,High
58,1008277,2033266,7,2,Advanced,Moderate
70,1439078,4687400,-5,1,Intermediate,Low
63,815692,2512158,2,0,Intermediate,Low
67,1115190,3279403,-2,0,Intermediate,Low
32,662204,419988,8,1,Intermediate,Moderate
59,1032384,2541456,1,2,Advanced,Low
24,1475442,1448166,3,0,Beginner,Moderate
57,679318,2033682,8,1,Intermediate,Moderate
45,1056050,746564,3,1,Advanced,High
49,1142075,2247802,16,3,Beginner,Moderate
52,1438571,1518088,13,2,Intermediate,Moderate
32,867672,1198865,12,1,Intermediate,Moderate
65,1052646,2457351,0,0,Advanced,Moderate
53,1488476,1538108,12,0,Beginner,Moderate
38,1292117,793439,18,2,Intermediate,High
23,1329373,1373694,15,1,Beginner,Moderate
18,1302460,1193242,19,1,Beginner,High
21,406090,243063,5,1,Beginner,Moderate
28,373741,430155,4,1,Beginner,Moderate
61,829331,2544245,4,0,Advanced,Moderate
43,386386,767252,1,0,Intermediate,Low
54,618452,1551974,1,0,Intermediate,Low
40,238844,361976,7,1,Advanced,Moderate
46,858531,665026,18,3,Intermediate,Moderate
38,900266,1961561,11,3,Advanced,High
65,1236765,2037842,0,0,Intermediate,Low
62,754442,735297,2,0,Advanced,Low
62,1316195,4340128,3,0,Beginner,Low
66,520320,1858865,-1,2,Intermediate,Low
44,1128333,2671470,2,1,Beginner,Low
56,396598,795630,9,0,Intermediate,Moderate
57,386959,561495,8,0,Intermediate,Low
30,368215,558814,11,0,Intermediate,Moderate
40,235429,530929,7,4,Intermediate,Low
33,3794052,1316272,8,0,Beginner,Moderate
47,1119567,2909129,1,3,Intermediate,Low
21,614190,281355,7,0,Beginner,Moderate
57,2209435,6263747,8,0,Beginner,Moderate
33,374529,624375,2,0,Intermediate,Moderate
48,1411176,2580051,5,1,Beginner,Moderate
70,4965975,11082061,-5,0,Intermediate,Low
59,4129642,5173128,6,1,Beginner,Moderate
42,499736,461814,15,2,Beginner,Low
