age,annual_income,current_savings,target_goal_amount,investment_horizon_years,number_of_dependents,investment_experience_level,goal_success
35,443428,324001,2530316,18,0,Beginner,Likely
64,988731,3002998,14108385,1,0,Advanced,Unlikely
57,426356,260419,605411,2,2,Beginner,Unlikely
59,683811,271698,1413587,6,0,Intermediate,Moderate
46,3960205,11274281,86292809,17,0,Beginner,Moderate
61,1478023,1115452,5693472,4,1,Intermediate,Unlikely
21,847468,238883,801620,4,0,Beginner,Unlikely
57,524528,2130329,6078940,7,1,Intermediate,Unlikely
67,1266857,6648587,45476754,-2,2,Advanced,Unlikely
45,2805195,1607323,5284629,16,2,Beginner,Likely
55,1027347,4481462,25278567,1,2,Beginner,Unlikely
23,378859,553800,2291095,1,1,Beginner,Unlikely
48,1473857,4823689,12436186,17,3,Intermediate,Likely
21,717086,659489,2767938,2,0,Beginner,Unlikely
31,599498,581833,2962004,10,2,Advanced,Moderate
43,3441231,10839951,33812815,1,0,Intermediate,Unlikely
25,1208270,2386621,18347993,3,1,Intermediate,Unlikely
18,2912141,2651871,5304511,16,0,Beginner,Likely
53,288347,528878,2174051,7,1,Intermediate,Unlikely
68,415866,1751452,3279173,-3,1,Intermediate,Unlikely
45,2542614,6195505,21060882,9,0,Intermediate,Moderate
21,500952,824071,5664359,13,0,Beginner,Unlikely
22,587343,405201,1298992,14,1,Intermediate,Likely
63,1196856,4398411,20026030,2,0,Intermediate,Unlikely
70,1315165,7355909,29217307,-5,0,Intermediate,Unlikely
56,2749028,9282407,51441176,1,1,Intermediate,Unlikely
42,300764,433735,2228796,15,4,Beginner,Unlikely
27,592817,920424,5400921,6,1,Beginner,Unlikely
34,806104,991181,6153208,8,2,Intermediate,Unlikely
61,1304347,6197692,47723722,4,0,Intermediate,Unlikely
55,610537,2645338,4118310,10,1,Advanced,Likely
43,1338576,1319792,8540034,19,0,Intermediate,Likely
53,1415686,2273262,4085195,10,3,Intermediate,Likely
58,328255,556081,3017963,7,2,Beginner,Unlikely
24,838349,1607486,3638098,11,0,Beginner,Moderate
65,561873,1390149,5656665,0,0,Beginner,Unlikely
56,1215395,3287664,22621278,9,1,Intermediate,Unlikely
26,915596,1537453,2465604,11,0,Advanced,Likely
23,449021,572550,3159326,5,0,Intermediate,Unlikely
52,1077870,4126918,24446648,6,2,Intermediate,Unlikely
48,421128,1434938,10521143,7,1,Beginner,Unlikely
42,325867,1030720,6096621,4,3,Advanced,Unlikely
48,206594,465644,1680644,2,3,Advanced,Unlikely
35,4503357,9971409,64942879,15,0,Advanced,Likely
44,2235391,5141729,31789883,11,2,Intermediate,Unlikely
18,918081,1226354,3620304,10,0,Beginner,Likely
47,976072,653383,3140472,8,2,Intermediate,Moderate
22,342840,321953,937036,8,0,Beginner,Moderate
43,819118,1186854,7209089,5,1,Intermediate,Unlikely
40,478552,235612,779898,20,1,Beginner,Likely
61,4636280,9386921,37263886,4,0,Advanced,Unlikely
43,1314803,2364599,13500492,8,1,Beginner,Unlikely
35,291867,275955,1016395,19,2,Intermediate,Moderate
46,1378378,2709248,12929618,10,1,Advanced,Moderate
68,241420,1244003,6634539,-3,2,Intermediate,Unlikely
53,446525,1339130,6985905,3,0,Intermediate,Unlikely
27,1221336,1321767,3874418,19,0,Beginner,Likely
50,1032890,561113,1174647,2,1,Beginner,Unlikely
42,743857,1448343,7053261,12,1,Beginner,Moderate
34,811219,337062,2185921,16,1,Intermediate,Likely
59,981055,2900717,22972627,6,1,Advanced,Unlikely
44,565695,381413,635473,3,1,Intermediate,Likely
56,247357,207013,1272349,9,2,Beginner,Unlikely
50,366856,274033,1714951,12,2,Intermediate,Moderate
40,698358,1351052,8462012,5,2,Intermediate,Unlikely
38,1393040,1300271,7164780,6,2,Intermediate,Unlikely
46,630196,2190369,3466458,4,1,Intermediate,Moderate
69,1909441,6522015,35750190,-4,1,Beginner,Unlikely
52,2591980,3043202,14730333,4,0,Beginner,Unlikely
21,765159,409196,1336376,3,0,Intermediate,Unlikely
36,425479,576829,4567702,7,0,Intermediate,Unlikely
67,432304,1790404,5539890,-2,2,Intermediate,Unlikely
33,496208,263430,1984326,19,0,Beginner,Moderate
42,718455,1437798,8111376,1,1,Advanced,Unlikely
41,3097130,3418106,5555141,20,0,Advanced,Likely
39,974545,2075971,8773925,6,1,Advanced,Unlikely
38,365462,1086232,6560936,3,1,Beginner,Unlikely
35,436453,811526,1873504,3,0,Intermediate,Unlikely
19,1433608,1509213,9726978,12,0,Beginner,Moderate
44,1434595,2406793,16276825,1,0,Advanced,Unlikely
28,722145,942074,5468312,19,0,Beginner,Moderate
33,922743,1033073,1922645,10,2,Intermediate,Likely
42,546918,1659763,8535946,9,4,Beginner,Unlikely
36,1293611,3716156,14409619,20,0,Intermediate,Likely
19,884172,127927,391188,18,0,Beginner,Likely
37,832410,1278367,7707533,7,4,Intermediate,Unlikely
61,983699,4739123,10826963,4,0,Intermediate,Unlikely
43,298391,792396,6184796,7,0,Beginner,Unlikely
64,556002,945753,3610492,1,0,Intermediate,Unlikely
25,321866,168632,515634,7,2,Beginner,Unlikely
60,609160,415855,2816169,5,0,Advanced,Unlikely
60,219213,129368,948771,5,0,Intermediate,Unlikely
18,1461076,1354159,6581115,20,1,Beginner,Likely
18,292857,255576,608722,10,2,Beginner,Moderate
67,1313401,6224739,38593000,-2,0,Beginner,Unlikely
30,751903,1189733,5150168,12,0,Beginner,Moderate
36,1050562,524093,3065411,13,2,Intermediate,Moderate
55,1412769,4964394,8894914,10,0,Advanced,Likely
18,957045,1146259,3332593,2,1,Beginner,Unlikely
64,2898977,2569117,19687781,1,0,Advanced,Unlikely
59,262846,550767,4364879,3,0,Beginner,Unlikely
35,1389650,3462501,19806868,15,3,Intermediate,Unlikely
61,234476,832888,5238516,4,2,Advanced,Unlikely
67,4310498,10394334,69356969,-2,2,Intermediate,Unlikely
45,4049526,14489379,32301983,15,0,Advanced,Likely
48,1487035,5226206,37366657,17,0,Beginner,Unlikely
24,726107,823696,1915593,8,0,Beginner,Moderate
36,3875989,1718708,13061655,12,0,Beginner,Moderate
65,1008969,1339951,6254710,0,1,Beginner,Unlikely
18,896128,143644,991840,14,0,Intermediate,Moderate
40,1245059,2868744,7334674,7,1,Intermediate,Moderate
24,735724,443471,1620670,17,0,Beginner,Likely
50,405575,580442,2973048,15,3,Intermediate,Moderate
43,1427739,937739,6530498,9,3,Beginner,Unlikely
43,971756,1679125,6099210,18,2,Beginner,Likely
70,3411320,8621130,56874962,-5,0,Intermediate,Unlikely
55,1439351,5696559,26918696,10,0,Advanced,Unlikely
32,235871,225953,1100033,16,2,Intermediate,Moderate
33,977511,1798267,7465772,20,0,Intermediate,Likely
56,856499,3281661,15892995,9,0,Intermediate,Unlikely
21,818100,1166365,4886451,7,1,Beginner,Unlikely
19,1299244,771558,5346178,13,0,Beginner,Moderate
66,1497554,7450641,39093902,-1,1,Intermediate,Unlikely
36,927204,2343591,17638115,10,1,Beginner,Unlikely
38,910074,1901440,3312965,1,0,Intermediate,Unlikely
49,314612,117844,235728,2,0,Beginner,Unlikely
44,1074650,2800425,10050802,4,3,Beginner,Unlikely
61,1172340,1228548,2054955,4,0,Advanced,Likely
23,947512,210198,1639576,15,0,Beginner,Moderate
38,439258,943248,3545129,8,0,Intermediate,Unlikely
68,1388897,1834966,9506933,-3,0,Intermediate,Unlikely
59,214432,405379,1666913,6,0,Intermediate,Unlikely
57,827623,1450948,7213878,8,0,Beginner,Unlikely
37,769362,1699240,5432871,18,0,Beginner,Likely
64,303041,744062,1678591,1,0,Advanced,Unlikely
20,740320,155949,361825,11,0,Beginner,Likely
30,331949,186016,1046504,16,2,Intermediate,Likely
18,4372209,2279148,14526674,10,0,Beginner,Moderate
26,1333180,929772,5442176,14,2,Beginner,Moderate
53,809270,2413986,4845926,12,0,Intermediate,Likely
59,1328298,1789285,3557903,5,1,Intermediate,Likely
60,264208,974020,3001040,5,0,Intermediate,Unlikely
61,803827,2538600,7558526,4,0,Intermediate,Unlikely
56,586755,1150256,4610076,9,1,Beginner,Unlikely
58,3433958,3925908,7996779,7,0,Intermediate,Moderate
28,793394,775614,1455171,2,1,Beginner,Unlikely
30,289408,491229,3470886,10,3,Beginner,Unlikely
57,1227542,643596,4100953,8,1,Advanced,Moderate
31,1324382,2020974,12423910,12,0,Intermediate,Moderate
60,594536,331149,2370075,3,1,Intermediate,Unlikely
51,201959,643132,2141159,7,1,Beginner,Unlikely
58,318461,481608,2048012,7,2,Beginner,Unlikely
39,265350,776630,3595160,18,2,Intermediate,Moderate
44,4399894,10071446,32759368,11,3,Advanced,Likely
40,1007305,2254968,10250510,10,2,Advanced,Moderate
61,740112,704208,2123850,4,0,Advanced,Unlikely
68,1014452,4288949,31214822,-3,1,Beginner,Unlikely
45,1388096,1664570,9920429,14,1,Intermediate,Likely
66,724166,3584948,24813911,-1,1,Intermediate,Unlikely
33,2564739,6258356,27639921,9,2,Intermediate,Unlikely
64,667078,2084136,13628912,1,2,Beginner,Unlikely
59,235810,421633,1816166,6,0,Intermediate,Unlikely
67,521263,2182484,11632025,-2,0,Intermediate,Unlikely
56,1415878,750794,4890191,9,0,Beginner,Moderate
33,547604,874771,4686327,16,2,Beginner,Moderate
61,395757,1838187,3686983,4,2,Advanced,Unlikely
32,1101085,1056262,2244532,5,2,Intermediate,Moderate
47,1473190,1753461,4337001,18,0,Advanced,Likely
56,1079243,4159987,17477683,4,0,Intermediate,Unlikely
64,1349471,5095150,17788187,1,1,Beginner,Unlikely
41,438160,167095,1306043,20,1,Beginner,Likely
68,3785588,10493909,45630956,-3,0,Intermediate,Unlikely
18,1427454,2032544,13013695,14,1,Beginner,Moderate
40,767730,202840,1477740,10,0,Intermediate,Likely
57,3990635,15623958,92214834,8,1,Advanced,Unlikely
43,541407,1829193,5784073,19,1,Beginner,Moderate
31,1489120,703989,2121386,19,1,Intermediate,Likely
51,1061327,1022992,2018534,13,0,Beginner,Likely
65,2504507,3727682,23747992,0,0,Beginner,Unlikely
52,2511892,3103950,22650691,3,0,Advanced,Unlikely
51,1073858,1533277,5098730,6,2,Beginner,Unlikely
62,570358,2031523,14298997,3,1,Beginner,Unlikely
63,414457,505293,3395722,2,0,Advanced,Unlikely
67,562085,2198932,4381355,-2,2,Advanced,Unlikely
66,465185,2182561,15656951,-1,0,Intermediate,Unlikely
69,531130,386344,2619076,-4,1,Intermediate,Unlikely
30,924314,1769100,5148306,5,0,Intermediate,Unlikely
61,1055095,624507,4051518,4,2,Beginner,Unlikely
67,231521,1035206,7195037,-2,1,Intermediate,Unlikely
44,374818,112124,836140,12,2,Intermediate,Moderate
22,1175788,879010,3316644,11,0,Intermediate,Likely
70,1092669,1703000,8282164,-5,1,Intermediate,Unlikely
39,1083541,3107192,12404617,4,0,Intermediate,Unlikely
58,1396874,3403660,18028496,7,0,Beginner,Unlikely
38,1423615,3878794,15113222,8,2,Advanced,Unlikely
24,325596,499637,975803,6,0,Beginner,Moderate
54,592174,683438,2693602,7,2,Intermediate,Unlikely
30,680077,499398,3555534,8,0,Intermediate,Unlikely
47,1478060,5236281,27814582,7,0,Intermediate,Unlikely
69,598813,831927,5097900,-4,0,Intermediate,Unlikely
22,4986462,6716998,27875873,18,0,Beginner,Likely
68,443819,2135500,11671226,-3,0,Intermediate,Unlikely
54,850068,685313,4952278,11,2,Advanced,Moderate
55,624141,2163872,10956538,10,0,Beginner,Unlikely
29,1136459,1702890,3027107,13,0,Advanced,Likely
60,3590962,16448861,29443670,5,0,Intermediate,Moderate
51,789899,1998799,10335530,14,1,Intermediate,Moderate
66,3225806,14510589,65250734,-1,2,Intermediate,Unlikely
68,661188,791531,2319686,-3,0,Beginner,Unlikely
43,456861,1552986,7273910,1,1,Intermediate,Unlikely
26,551093,414275,1254001,3,1,Beginner,Unlikely
40,1463053,2676887,4260092,6,1,Advanced,Likely
64,507358,2076840,10228510,1,1,Beginner,Unlikely
54,584194,334273,2356013,11,0,Beginner,Moderate
30,772300,789894,2516453,17,0,Intermediate,Likely
47,280742,124504,770511,8,1,Intermediate,Unlikely
31,408813,387792,1909198,11,0,Beginner,Moderate
28,279889,516412,1484657,20,1,Beginner,Likely
59,3846983,7702824,15035999,4,1,Beginner,Moderate
27,295676,75360,530396,2,0,Advanced,Unlikely
44,588696,1902007,8301579,19,2,Advanced,Likely
53,1339296,4994957,37938080,5,0,Intermediate,Unlikely
47,838418,394222,1090163,15,2,Intermediate,Likely
70,1260451,1349473,3071276,-5,0,Intermediate,Unlikely
47,395681,1037131,5103776,6,0,Intermediate,Unlikely
23,545049,767024,3604961,7,0,Beginner,Unlikely
53,806210,945366,5076980,12,3,Intermediate,Unlikely
20,2448467,2551800,17676337,17,0,Intermediate,Likely
60,1181729,4940609,18839972,5,0,Advanced,Unlikely
58,845617,1686196,4940991,7,2,Advanced,Unlikely
45,1366447,3922973,29067919,14,0,Intermediate,Unlikely
57,641668,2447586,11390356,8,0,Advanced,Unlikely
23,1160560,1671488,7646167,6,0,Beginner,Unlikely
46,3396888,5467329,28577806,5,0,Intermediate,Unlikely
68,1353977,4591603,15271667,-3,0,Beginner,Unlikely
57,4169354,16370664,35387334,6,0,Intermediate,Moderate
66,1124377,4417998,14506912,-1,1,Advanced,Unlikely
44,1044307,1414254,6918426,20,2,Beginner,Likely
57,646016,2879450,12030381,8,0,Beginner,Unlikely
66,4187105,5583211,19463648,-1,1,Advanced,Unlikely
55,1275366,2485792,4656451,8,2,Intermediate,Likely
62,709486,3329698,11415575,3,0,Intermediate,Unlikely
54,1188371,947321,5845058,11,0,Advanced,Moderate
42,644096,1709035,3620020,4,3,Beginner,Unlikely
59,980307,4087856,27468715,6,1,Intermediate,Unlikely
56,2965909,8401393,23323834,2,0,Beginner,Unlikely
44,4161187,2256836,4089736,16,1,Advanced,Likely
61,253701,365122,1683194,4,1,Intermediate,Unlikely
38,923685,1388486,7475211,14,1,Intermediate,Moderate
42,392294,385166,859715,19,2,Intermediate,Likely
62,3170110,1928462,12425735,3,0,Advanced,Unlikely
30,3997419,3875695,21190928,20,2,Advanced,Likely
38,1495739,4195858,9752964,9,0,Intermediate,Likely
42,1072848,1479532,9546070,4,1,Beginner,Unlikely
48,3568419,11877719,46271502,9,2,Advanced,Unlikely
25,290746,507796,881816,19,1,Beginner,Likely
27,460678,942522,2505256,4,1,Intermediate,Unlikely
27,429130,764285,4106082,9,2,Intermediate,Unlikely
26,3513508,3305778,8191482,15,0,Beginner,Likely
51,564215,1051909,3420656,8,2,Advanced,Moderate
67,768855,2431568,13701834,-2,1,Beginner,Unlikely
21,1107722,909989,2904410,13,1,Beginner,Moderate
35,3151569,8733951,35135543,19,2,Beginner,Likely
46,1201886,897763,3184002,3,0,Advanced,Unlikely
32,234287,456950,3473889,5,2,Intermediate,Unlikely
54,563339,2227400,10533626,8,0,Advanced,Unlikely
39,4310503,1972580,6672944,13,3,Beginner,Likely
24,1418319,1363185,6100908,2,0,Beginner,Unlikely
52,336055,760534,5884626,4,0,Intermediate,Unlikely
63,1183301,3188974,17454433,2,1,Advanced,Unlikely
19,829916,916053,5527497,15,0,Intermediate,Moderate
45,321690,262193,544603,17,0,Advanced,Likely
63,2732553,9308441,45034128,2,1,Intermediate,Unlikely
49,2882191,1716546,6503184,16,2,Intermediate,Likely
41,902088,678397,3747532,13,2,Beginner,Unlikely
47,517306,493328,2517880,8,0,Beginner,Unlikely
54,815477,3273968,24209643,11,2,Intermediate,Unlikely
61,761155,1541301,3460417,4,1,Advanced,Unlikely
37,1346106,2041946,3204722,2,4,Intermediate,Unlikely
53,1452451,4985645,26178008,11,3,Advanced,Unlikely
23,739190,319806,2508310,13,1,Beginner,Moderate
30,1159271,1232642,2375625,5,1,Intermediate,Likely
40,279759,803883,1636739,17,2,Advanced,Likely
37,2264330,5519137,33355796,13,4,Advanced,Unlikely
22,713872,1084223,7462003,12,0,Beginner,Unlikely
70,746987,705392,2341234,-5,0,Advanced,Unlikely
37,1028428,2258774,6462097,9,1,Intermediate,Moderate
21,910889,1277432,9443510,2,0,Beginner,Unlikely
67,437999,1963108,10602027,-2,1,Intermediate,Unlikely
44,3261533,1907635,12199351,14,0,Intermediate,Likely
44,353446,363790,579453,6,1,Beginner,Likely
39,1356586,4115266,16896430,11,2,Intermediate,Moderate
54,1180097,1180664,3572924,11,0,Beginner,Likely
43,768408,2577313,13569728,19,1,Advanced,Likely
20,3473958,2888302,16878068,11,0,Beginner,Moderate
55,537174,1450878,11281476,10,0,Advanced,Unlikely
47,346123,1129509,2963952,2,0,Beginner,Unlikely
22,954790,1308673,6312662,11,0,Beginner,Moderate
54,827098,3368701,13747719,3,2,Intermediate,Unlikely
27,4769386,6708055,36845205,3,1,Intermediate,Unlikely
58,1144439,1714800,4198273,7,0,Advanced,Likely
60,295216,931059,2607964,5,1,Advanced,Unlikely
34,1161187,327013,2351886,15,3,Beginner,Moderate
44,471582,1013937,4292922,11,2,Beginner,Unlikely
38,741549,565177,1087625,17,2,Intermediate,Likely
37,4939009,9088263,62257554,6,3,Intermediate,Unlikely
51,1182732,3050234,11682320,7,3,Advanced,Unlikely
69,240346,590950,3795805,-4,0,Intermediate,Unlikely
29,227359,302185,1804106,18,0,Intermediate,Likely
52,3097579,2709748,13830325,5,2,Advanced,Unlikely
48,3399311,9864677,75247936,7,3,Advanced,Unlikely
43,249840,164617,527670,14,0,Advanced,Likely
29,632275,289965,1363596,3,0,Advanced,Unlikely
32,4500331,10539014,54556205,13,2,Intermediate,Unlikely
60,244368,323706,2530191,2,2,Intermediate,Unlikely
25,751584,1390948,10719785,13,0,Intermediate,Unlikely
48,488451,590703,1737702,5,1,Beginner,Unlikely
21,358418,420680,860088,10,0,Intermediate,Moderate
63,2983382,10118838,77881030,2,0,Intermediate,Unlikely
44,1157080,514091,1280958,15,3,Advanced,Likely
26,400641,421879,1524544,16,1,Intermediate,Likely
32,3075377,7473494,12984438,1,0,Intermediate,Unlikely
66,778440,1394055,9433498,-1,0,Intermediate,Unlikely
39,763669,1825546,8125157,18,0,Intermediate,Likely
47,783939,649041,2118982,10,1,Intermediate,Moderate
46,2138636,7151796,28173254,9,3,Intermediate,Unlikely
54,2441924,6536896,40716691,11,1,Intermediate,Unlikely
33,396082,764176,5184813,8,0,Intermediate,Unlikely
68,342347,1278162,7368831,-3,1,Intermediate,Unlikely
59,419315,1384572,5841409,4,1,Intermediate,Unlikely
36,411795,1028604,4521833,15,1,Beginner,Likely
25,262360,279403,430735,5,0,Beginner,Moderate
44,1076854,3054656,6738875,18,0,Advanced,Likely
70,3808493,13126646,100000000,-5,0,Advanced,Unlikely
58,1946636,6695619,33924181,3,2,Advanced,Unlikely
37,4466028,8626546,14968168,16,3,Intermediate,Likely
68,3039312,15317922,58247647,-3,1,Intermediate,Unlikely
69,514933,2047764,12311945,-4,1,Intermediate,Unlikely
46,387587,1326072,5352896,5,2,Intermediate,Unlikely
41,521839,272488,538920,4,1,Intermediate,Likely
44,594399,1099385,7895699,6,0,Intermediate,Unlikely
27,1034871,1050063,6693558,17,0,Advanced,Likely
19,2266083,3148940,16558882,1,2,Beginner,Unlikely
44,2949920,4083294,27525646,10,2,Advanced,Unlikely
68,588080,1058335,3843203,-3,1,Advanced,Unlikely
54,401906,1466917,8596348,4,3,Beginner,Unlikely
43,941805,1624722,3182610,8,1,Intermediate,Moderate
61,3878639,17050965,100000000,4,0,Intermediate,Unlikely
23,1042339,405858,609824,15,0,Beginner,Likely
59,3786818,2964742,17378809,2,2,Intermediate,Unlikely
30,1337076,945306,4876111,4,0,Intermediate,Unlikely
22,4314089,5091439,8330691,11,0,Beginner,Likely
55,301897,671203,2650404,5,1,Intermediate,Unlikely
61,264802,399870,1282631,4,0,Intermediate,Unlikely
34,1081307,1566708,7213394,19,3,Beginner,Likely
69,1400396,605652,4814934,-4,0,Intermediate,Unlikely
27,2769829,4900129,10645587,3,1,Beginner,Unlikely
29,1104275,1636985,10087079,20,1,Intermediate,Likely
63,3584434,12544795,60403343,2,0,Intermediate,Unlikely
64,2161517,3251291,19590586,1,1,Beginner,Unlikely
52,716824,387560,1726950,13,2,Beginner,Likely
34,1468721,406674,1999731,5,2,Intermediate,Moderate
47,455183,861525,1382011,2,3,Beginner,Unlikely
22,1499556,886988,1458429,2,0,Beginner,Unlikely
65,1266062,5007376,20104489,0,2,Intermediate,Unlikely
18,1258286,456854,3572275,7,1,Beginner,Unlikely
70,372928,1226945,4985157,-5,1,Beginner,Unlikely
30,644594,650178,2990823,12,2,Beginner,Moderate
18,636759,685049,3229648,18,0,Beginner,Likely
43,1446562,4908953,32258228,10,2,Intermediate,Unlikely
66,789652,1951446,6747598,-1,1,Intermediate,Unlikely
41,4140723,9873225,74627806,6,4,Intermediate,Unlikely
21,4959315,4802330,13783160,20,0,Beginner,Likely
63,1479481,2368334,3758254,2,0,Advanced,Moderate
42,1212292,2624455,16940486,9,0,Advanced,Unlikely
53,433441,753614,5770492,2,3,Beginner,Unlikely
64,588539,675267,4081796,1,0,Intermediate,Unlikely
46,876154,485083,1237395,8,0,Intermediate,Moderate
48,3517557,1370420,3095399,6,0,Intermediate,Moderate
64,1298180,4239444,8699000,1,2,Advanced,Unlikely
30,1158205,703203,4960158,10,1,Intermediate,Moderate
61,2671574,7796830,30421008,4,0,Intermediate,Unlikely
56,732461,1882149,14301542,3,0,Intermediate,Unlikely
68,1359950,4715411,35444669,-3,2,Intermediate,Unlikely
43,470877,1076557,3656678,15,4,Beginner,Moderate
49,469878,1300092,2648823,2,0,Intermediate,Unlikely
33,587527,780707,5667062,6,2,Beginner,Unlikely
41,1266753,2833472,4405321,9,3,Advanced,Likely
47,665490,2336338,4246937,12,0,Intermediate,Likely
65,2445178,12538238,24586625,0,1,Intermediate,Unlikely
60,1106171,2149754,14209224,5,0,Intermediate,Unlikely
68,1077273,4468186,23821605,-3,1,Advanced,Unlikely
56,780704,1439136,3429239,9,0,Beginner,Moderate
43,2668521,5786375,11401608,11,3,Beginner,Likely
63,1458606,4895558,37294166,2,2,Intermediate,Unlikely
66,1243196,2785275,11537081,-1,1,Beginner,Unlikely
40,962018,1181634,4875440,8,0,Intermediate,Moderate
68,359143,608308,2448081,-3,0,Beginner,Unlikely
23,3948649,592045,1491783,11,0,Beginner,Moderate
21,3187022,2964566,19729036,1,0,Beginner,Unlikely
68,286694,410326,2546186,-3,1,Beginner,Unlikely
50,732561,2481149,17606934,12,2,Intermediate,Unlikely
31,1084876,1936019,14798212,8,0,Intermediate,Unlikely
35,494478,329160,1230763,19,2,Intermediate,Likely
42,586303,1688174,9012140,3,1,Advanced,Unlikely
35,1978957,2648186,7612723,19,0,Intermediate,Likely
27,1239851,264043,514941,13,1,Intermediate,Likely
69,1930167,10527655,72577116,-4,1,Intermediate,Unlikely
44,1140876,669100,1159642,17,2,Advanced,Likely
63,829306,3741039,17777074,2,2,Intermediate,Unlikely
54,1120944,4357855,16708011,2,0,Intermediate,Unlikely
63,1535285,4581051,26654613,2,2,Beginner,Unlikely
22,1193216,380742,2931433,17,0,Advanced,Likely
64,1162260,5655641,33854083,1,1,Advanced,Unlikely
57,876578,2942485,21726294,8,1,Advanced,Unlikely
53,4704243,3690530,26599707,5,0,Intermediate,Unlikely
52,4123301,3191291,22054998,2,1,Advanced,Unlikely
65,4425838,4743854,29947238,0,1,Intermediate,Unlikely
19,389029,89712,210046,10,0,Advanced,Likely
28,1823666,2754018,16626040,8,0,Beginner,Unlikely
37,599247,1654916,10808488,9,0,Advanced,Unlikely
50,2617396,3285266,18811078,8,2,Advanced,Unlikely
49,1273883,3688441,24747079,16,0,Intermediate,Likely
25,2729032,5141454,18069384,3,1,Beginner,Unlikely
34,862230,1627439,9624485,18,1,Beginner,Moderate
29,1410450,2018578,12478378,2,0,Beginner,Unlikely
42,1175416,2640000,20751652,16,1,Intermediate,Moderate
44,1086525,2064198,5743008,4,2,Intermediate,Unlikely
63,4415790,9971375,20151857,2,2,Intermediate,Unlikely
51,3678736,5982296,20697586,3,1,Intermediate,Unlikely
32,358314,765842,4839955,2,2,Beginner,Unlikely
61,1019150,824632,3969798,4,0,Intermediate,Unlikely
53,1112220,4348518,29725534,2,1,Beginner,Unlikely
39,1030687,1638757,2695843,8,1,Advanced,Likely
48,267800,434420,1827991,2,3,Beginner,Unlikely
60,1117837,3243914,7927817,5,2,Intermediate,Unlikely
20,350638,114313,353080,3,0,Beginner,Unlikely
26,437136,331086,707145,16,1,Intermediate,Likely
36,1009253,2307940,10218493,12,3,Advanced,Moderate
49,571215,265458,1552699,12,3,Advanced,Moderate
23,805449,184909,457390,10,0,Beginner,Moderate
29,372832,105186,681429,14,1,Intermediate,Likely
63,768583,3613998,11158149,1,0,Advanced,Unlikely
45,1965032,6915801,37373969,12,1,Beginner,Unlikely
55,938722,2823614,16820646,10,1,Intermediate,Unlikely
36,1147297,1096510,7977193,12,4,Advanced,Unlikely
53,474463,997091,4328157,12,1,Intermediate,Moderate
40,860658,909648,7270791,15,0,Intermediate,Likely
68,3829463,17831283,30857072,-3,1,Intermediate,Unlikely
55,688691,2231224,8555494,10,1,Advanced,Moderate
59,321409,740912,3630977,1,1,Intermediate,Unlikely
45,779763,2269981,16054122,16,1,Advanced,Moderate
34,3890805,1497284,5339574,9,2,Intermediate,Likely
58,1493046,2695393,7205278,6,0,Advanced,Moderate
39,931892,2033712,5636428,14,1,Intermediate,Moderate
36,1168447,2634360,18229967,13,2,Advanced,Unlikely
56,2406420,2198693,5888330,8,0,Beginner,Moderate
28,3512807,3503168,11748785,16,1,Beginner,Likely
27,4591532,5358735,34031488,6,0,Beginner,Unlikely
41,209190,295440,1279918,14,0,Intermediate,Likely
39,692183,346336,1092110,5,1,Intermediate,Moderate
38,2332931,1888594,3010675,10,2,Intermediate,Likely
23,1785179,2141721,5402828,17,0,Beginner,Likely
41,228556,542789,1923370,16,0,Beginner,Likely
61,515641,1461045,2745788,1,1,Advanced,Unlikely
48,364765,121292,566351,12,2,Beginner,Moderate
27,1151086,250051,1622014,11,0,Intermediate,Moderate
36,2129719,2745891,9239502,4,0,Advanced,Unlikely
29,608481,808604,4346678,1,1,Beginner,Unlikely
42,921474,2545816,10839574,19,1,Intermediate,Likely
62,495066,340298,1648045,3,0,Beginner,Unlikely
30,1548382,2896685,18075071,4,3,Beginner,Unlikely
37,327663,503993,3374511,4,2,Intermediate,Unlikely
67,707516,2545573,14540704,-2,1,Beginner,Unlikely
39,255090,632261,2634639,3,1,Advanced,Unlikely
42,543568,1593528,7839248,17,2,Intermediate,Likely
28,4206539,2240040,14601031,16,2,Advanced,Likely
43,1110091,1761211,11023792,16,2,Intermediate,Moderate
69,570879,2976242,9588763,-4,0,Intermediate,Unlikely
58,623348,871032,2862344,7,0,Intermediate,Moderate
49,395534,938749,1955326,16,1,Intermediate,Likely
41,1519251,910740,6395587,18,1,Intermediate,Likely
29,4521054,4202486,24861282,13,0,Beginner,Moderate
29,885134,324887,495823,10,0,Beginner,Likely
29,1816679,915608,5813005,10,0,Beginner,Moderate
36,1129059,261238,2016109,14,0,Beginner,Likely
18,1101475,832691,1888430,9,1,Beginner,Moderate
59,294058,1347781,3110342,6,1,Advanced,Unlikely
22,783387,992499,7662012,13,0,Beginner,Unlikely
24,922116,1578091,5885017,12,0,Beginner,Moderate
55,303912,564456,2572585,3,1,Advanced,Unlikely
43,368891,121802,422614,10,3,Intermediate,Likely
70,276008,179587,631911,-5,2,Advanced,Unlikely
62,3844858,2174955,16993914,3,2,Advanced,Unlikely
46,265375,943254,5023458,14,1,Advanced,Unlikely
61,1275496,3882955,13318984,4,0,Intermediate,Unlikely
54,1311781,1505585,6927262,5,1,Intermediate,Unlikely
30,849222,1443085,11235154,4,3,Intermediate,Unlikely
47,4067643,12638567,52376331,10,2,Intermediate,Unlikely
